name
aachman
aadesh
aadi
aafreen
aakar
aakash
aalap
aandaleeb
aashish
abeer
abhay
abhayananda
abhayaprada
abheek
abhi
abhibhava
abhicandra
abhidi
abhihita
abhijat
abhijaya
abhijit
abhijvala
abhilash
abhimand
abhimani
abhimanyu
abhimanyusuta
abhimoda
abhinabhas
abhinanda
abhinandana
abhinatha
abhinav
abhinava
abhirup
abhishek
abhisoka
abhisumat
abhisyanta
abhivira
abhra
abhrakasin
abhyagni
abhyudaya
abhyudita
abjayoni
abjit
acalapati
acalendra
acalesvara
acanda
acarya
acaryanandana
acaryasuta
acaryatanaya
acchindra
achal
achintya
achyut
achyuta
acintya
acyutaraya
adalarasu
adarsh
adesh
adhik
adhikara
adhipa
adhita
adikavi
adil
adinath
adit
aditeya
aditya
adityanandana
adityavardhana
adripathi
adwaita
adway
adwaya
aftab
agasti
agendra
agha
agharna
aghat
agneya
agnikumara
agniprava
agrim
agriya
ahijit
ahilan
ahmad
ahsan
aijaz
aiman
ainesh
ajamil
ajatashatru
ajay
ajinkya
ajit
ajitabh
ajitesh
ajmal
akalmash
akalpa
akash
akhil
akhilesh
akmal
akram
akroor
akshan
akshar
akshat
akshath
akshay
akshit
akul
alagan
alagarasu
alam
alamgir
alhad
alok
aloke
amal
amalendu
amalesh
amanath
amanda
amar
amartya
ambar
ambarish
ambuj
ameya
amil
amish
amit
amitabh
amitabha
amitava
amitbikram
amitesh
amitiyoti
amitrasudan
amiya
amlankusum
ammar
amod
amogh
amoha
amol
amolik
amrit
amrit
amulya
anadi
anamitra
anand
ananda
ananga
ananmaya
anant
ananta
anantram
anarghya
anbarasu
anbu
anbuchelvan
anbumadi
angad
angada
angamuthu
anil
animish
anirudhha
anirvan
anisa
anish
aniteja
anjasa
anjum
anjuman
ankit
ankur
ankush
anmol
anoop
anshu
anshul
anshuman
anshumat
anu
anugya
anuha
anuj
anunay
anup
anupam
anurag
anurag
anuttam
anwar
apoorva
apparajito
apurva
arav
aravali
aravan
aravinda
archan
archit
ardhendu
arghya
arham
arhant
arihant
arijit
arindam
arivalagan
arivali
arivarasu
arivoli
arivuchelvan
arivumadhi
arivumani
arivunambi
arjit
arjun
arka
arnav
arnesh
arokya
arshad
arul
arulchelvan
arumugan
arun
arun
aruni
arvind
arya
aryaman
asao
asgar
ashis
ashit
ashok
ashraf
ashu
ashutosh
ashvin
ashwatthama
ashwin
ashwini
aslesh
atal
atanu
atiya
atma
atmaja
atmajyoti
atmananda
atralarasu
atreya
atul
atul
atulya
avadhesh
avanindra
avanish
avatar
avikshit
avinash
avkash
ayog
ayushman
ayyapan
badal
badri
badrinath
badriprasad
bahubali
bahuleya
bahumanya
bahurai
bajrang
bakhtawar
balaaditya
balachandra
balachandrav
baladhi
baladhitya
balagovind
balaji
balakrishna
balakumar
balamani
balamohan
balamurugan
balan
balanath
balaraj
balaram
balaravi
balbir
baldev
balgopal
balram
balvindra
balwant
banbihari
bandhu
bandhul
bankebihari
bankim
bankimchandra
bansi
bansilal
barid
baridbaran
barindra
barun
basanta
basavaraj
basistha
basudha
bhadrak
bhadraksh
bhadrang
bhadranidhi
bhagaditya
bhagat
bhagirat
bhagirath
bhagwant
bhagyanandana
bhairav
bhajan
bhanu
bhanudas
bhanuprasad
bharadwaj
bharat
bhargava
bhargyaraj
bhaskar
bhaumik
bhavamanyu
bhavesh
bhim
bhishma
bhojaraja
bhooshan
bhooshit
bhudev
bhumi
bhupathi
bhupen
bhupendra
bhushan
bhuvan
bhuvanesh
bibek
bibhas
bibhavasu
bijal
bikram
bilva
bimal
bindusar
bipin
birbal
bitasok
bodhan
boudhayan
brahmabrata
brahmadutt
bratindra
brijesh
brijmohan
buddhadev
buddhadeva
budhil
